weight,pa,TOR0,TOD0,TOR10,TOD10,TOR20,TOD20,TOR30,TOD30,TOR40,TOD40,TOR40,TOD40
1670,0,640,1190,695,1290,755,1390,810,1495,875,1605,875,1605
1670,1000,705,1310,765,1420,825,1530,890,1645,960,1770,960,1770
1670,2000,775,1445,840,1565,910,1690,980,1820,1055,1960,1055,1960
1670,2000,775,1445,840,1565,910,1690,980,1820,1055,1960,1055,1960
